"","rowname","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"1","275686563","https://t.co/W2SFxIXkC4 covers life in the future.",144707,2471499,1582,144,"http://t.co/W2SFxIXkC4","The Verge",2011-04-01 19:54:22,FALSE,TRUE,"verge","New York","en","275686563",35558,FALSE,"http://pbs.twimg.com/profile_images/877903823133704194/Mqp1PXU8_normal.jpg"
"2","14372486","Engadget is the original home for technology news and reviews. https://t.co/6NnXn9BWso",162570,2385592,1423,276,"https://t.co/sPqsSwBKtx","Engadget",2008-04-13 02:42:50,FALSE,TRUE,"engadget","Global","en","14372486",51234,FALSE,"http://pbs.twimg.com/profile_images/655059892022022144/Pq3Q_1oU_normal.png"
"3","17471979","Since its inception nearly 130 years ago, the core purpose of National Geographic has been to further the knowledge and awareness of our world.",45907,22455234,6054,53,"http://t.co/mwaSar7U14","National Geographic",2008-11-18 21:28:10,FALSE,TRUE,"NatGeo","Global","en","17471979",64032,FALSE,"http://pbs.twimg.com/profile_images/921336759979597825/VTSJ5mRt_normal.jpg"
"4","137857547","Founder of ZOZO @zozoglobal / Host Curator of @dearmoonproject #dearMoon",4032,428116,83,64,"https://t.co/gG28yXNxT4","Yusaku Maezawa (MZ) 前澤友作",2010-04-27 23:59:08,FALSE,TRUE,"yousuck2020","","ja","137857547",2584,FALSE,"http://pbs.twimg.com/profile_images/985785092315299840/VSlRwzsF_normal.jpg"
"5","1308211178","Tesla, SpaceX, Elon Musk and Future Tech. Now boarding rocket lovers: https://t.co/2AZoFepEzC DM us!",5813,54712,2630,78,"https://t.co/cAxO0Q5o3M","TESLARATI",2013-03-27 18:13:53,FALSE,FALSE,"Teslarati","California","en","1308211178",561,FALSE,"http://pbs.twimg.com/profile_images/967139929888243712/kpeiQiVn_normal.jpg"
"6","17060015","World's #1 cleantech & clean energy website. Solar energy, wind energy, electric vehicles, & more. For tweeting commentary, see site director @zshahan3",36796,61717,1280,127,"http://t.co/xWehwh1qy0","CleanTechnica",2008-10-30 04:29:39,FALSE,FALSE,"cleantechnica","","en","17060015",2179,FALSE,"http://pbs.twimg.com/profile_images/739832530392743936/Hw1P-Qb3_normal.jpg"
"7","15808647","Our mission is to make technology a greater force for good by bringing about better-informed, more conscious technology decisions through our journalism.",57366,852833,7538,3347,"http://t.co/JWwse7vGcG","MIT Technology Review",2008-08-11 14:31:16,FALSE,TRUE,"techreview","Cambridge, MA","en","15808647",17876,FALSE,"http://pbs.twimg.com/profile_images/875400785294532608/feOza3es_normal.jpg"
"8","568621669","InsideEVs is the world's largest Internet site dedicated solely to plug-in electric vehicles.",27281,15069,84,35,"http://t.co/BRg0NJ3uMH","InsideEVs",2012-05-01 23:18:59,FALSE,FALSE,"InsideEVs","","en","568621669",335,FALSE,"http://pbs.twimg.com/profile_images/974644435517673472/hBdHjw7R_normal.jpg"
"9","5943622","Read with me.",53,706306,325996,18576,"https://t.co/kn6m03pNcw","Marc Andreessen",2007-05-10 23:39:54,FALSE,TRUE,"pmarca","Menlo Park, CA","en","5943622",11364,FALSE,"http://pbs.twimg.com/profile_images/1013268333729214465/0S2WJ2Zg_normal.jpg"
"10","86390214","Official Twitter account for the sum of all knowledge, Wikipedia. More on our social media: https://t.co/Uju7VyOsTe",17403,405309,2640,790,"https://t.co/43xScbS6YR","Wikipedia",2009-10-30 20:29:14,FALSE,TRUE,"Wikipedia","","en","86390214",4352,FALSE,"http://pbs.twimg.com/profile_images/1018552942670966784/0Zflj6Y__normal.jpg"
